iter	Passed	Remaining
0	67	33644
1	124	31033
2	162	26871
3	195	24285
4	234	23181
5	268	22092
6	304	21424
7	323	19890
8	357	19512
9	399	19561
10	403	17943
11	437	17791
12	471	17663
13	507	17606
14	541	17512
15	573	17354
16	608	17275
17	643	17234
18	695	17609
19	746	17905
20	792	18075
21	841	18292
22	890	18470
23	959	19021
24	1018	19346
25	1077	19650
26	1137	19924
27	1191	20084
28	1230	19982
29	1265	19828
30	1301	19684
31	1335	19534
32	1371	19405
33	1376	18866
34	1414	18791
35	1452	18723
36	1462	18300
37	1497	18209
38	1533	18130
39	1568	18041
40	1604	17963
41	1637	17860
42	1674	17799
43	1713	17761
44	1748	17677
45	1785	17621
46	1821	17552
47	1857	17489
48	1897	17461
49	1936	17431
50	1977	17409
51	2014	17354
52	2051	17298
53	2087	17237
54	2126	17202
55	2164	17159
56	2201	17110
57	2241	17083
58	2277	17020
59	2312	16961
60	2348	16900
61	2382	16834
62	2421	16798
63	2461	16766
64	2502	16748
65	2539	16699
66	2578	16662
67	2617	16628
68	2655	16586
69	2691	16535
70	2732	16512
71	2769	16463
72	2807	16424
73	2845	16380
74	2880	16322
75	2914	16257
76	2952	16217
77	2965	16041
78	3010	16041
79	3049	16009
80	3086	15965
81	3122	15915
82	3158	15866
83	3191	15804
84	3228	15764
85	3266	15724
86	3301	15672
87	3335	15614
88	3369	15560
89	3410	15535
90	3448	15499
91	3489	15473
92	3529	15447
93	3567	15407
94	3605	15371
95	3642	15328
96	3680	15292
97	3716	15243
98	3751	15197
99	3787	15150
100	3822	15100
101	3858	15055
102	3894	15009
103	3933	14979
104	3971	14938
105	4009	14901
106	4057	14901
107	4099	14880
108	4146	14873
109	4185	14838
110	4224	14805
111	4262	14766
112	4302	14736
113	4336	14684
114	4370	14632
115	4407	14589
116	4441	14538
117	4476	14490
118	4509	14439
119	4553	14418
120	4592	14384
121	4632	14352
122	4674	14326
123	4710	14284
124	4748	14246
125	4792	14225
126	4832	14193
127	4885	14199
128	4924	14161
129	4964	14130
130	5000	14085
131	5036	14040
132	5074	14002
133	5110	13959
134	5150	13926
135	5189	13889
136	5224	13843
137	5263	13806
138	5303	13773
139	5343	13741
140	5382	13705
141	5422	13671
142	5460	13631
143	5501	13600
144	5539	13562
145	5581	13534
146	5618	13493
147	5654	13448
148	5689	13403
149	5725	13358
150	5759	13311
151	5794	13266
152	5831	13226
153	5868	13185
154	5906	13146
155	5944	13109
156	5984	13073
157	6027	13047
158	6066	13009
159	6109	12983
160	6147	12944
161	6186	12908
162	6227	12874
163	6262	12831
164	6296	12783
165	6331	12738
166	6369	12700
167	6406	12660
168	6446	12626
169	6487	12593
170	6524	12553
171	6561	12511
172	6596	12468
173	6636	12434
174	6673	12393
175	6707	12347
176	6745	12309
177	6782	12269
178	6821	12233
179	6861	12199
180	6900	12162
181	6938	12123
182	6975	12083
183	7013	12044
184	7051	12006
185	7088	11966
186	7129	11932
187	7164	11890
188	7201	11850
189	7238	11810
190	7274	11768
191	7311	11728
192	7346	11686
193	7383	11646
194	7421	11608
195	7454	11562
196	7489	11518
197	7526	11480
198	7562	11439
199	7598	11397
200	7633	11354
201	7672	11318
202	7710	11281
203	7745	11239
204	7782	11199
205	7821	11162
206	7857	11122
207	7891	11079
208	7932	11044
209	7967	11002
210	8003	10961
211	8039	10921
212	8076	10882
213	8123	10856
214	8158	10815
215	8200	10782
216	8235	10739
217	8268	10695
218	8301	10651
219	8336	10609
220	8341	10530
221	8375	10488
222	8408	10444
223	8446	10407
224	8480	10365
225	8513	10322
226	8549	10282
227	8587	10244
228	8623	10205
229	8662	10169
230	8709	10142
231	8745	10102
232	8780	10061
233	8814	10019
234	8851	9981
235	8887	9941
236	8923	9902
237	8963	9867
238	8998	9826
239	9032	9785
240	9070	9748
241	9108	9711
242	9144	9671
243	9181	9632
244	9218	9595
245	9254	9555
246	9290	9515
247	9328	9478
248	9366	9441
249	9400	9400
250	9436	9361
251	9473	9323
252	9512	9287
253	9547	9247
254	9582	9207
255	9618	9167
256	9652	9126
257	9687	9086
258	9725	9049
259	9758	9007
260	9789	8964
261	9819	8919
262	9853	8879
263	9888	8839
264	9923	8800
265	9961	8763
266	10001	8728
267	10034	8686
268	10066	8644
269	10097	8601
270	10129	8559
271	10164	8520
272	10201	8482
273	10245	8450
274	10278	8409
275	10312	8369
276	10347	8330
277	10379	8288
278	10411	8247
279	10446	8207
280	10479	8167
281	10516	8129
282	10547	8087
283	10580	8047
284	10613	8006
285	10643	7964
286	10677	7924
287	10711	7885
288	10752	7850
289	10782	7808
290	10814	7766
291	10844	7724
292	10876	7684
293	10908	7643
294	10940	7602
295	10972	7562
296	11010	7525
297	11042	7485
298	11076	7445
299	11107	7405
300	11140	7365
301	11172	7325
302	11207	7286
303	11240	7246
304	11278	7210
305	11308	7169
306	11341	7129
307	11370	7088
308	11400	7047
309	11432	7006
310	11464	6967
311	11497	6927
312	11535	6891
313	11568	6852
314	11601	6813
315	11633	6773
316	11666	6734
317	11698	6695
318	11730	6655
319	11762	6616
320	11799	6580
321	11833	6541
322	11864	6501
323	11897	6462
324	11930	6424
325	11964	6386
326	11997	6347
327	12029	6308
328	12069	6273
329	12099	6233
330	12128	6192
331	12161	6154
332	12195	6115
333	12227	6077
334	12260	6038
335	12292	5999
336	12330	5963
337	12363	5925
338	12397	5887
339	12429	5849
340	12460	5809
341	12492	5771
342	12524	5732
343	12558	5695
344	12595	5658
345	12626	5619
346	12658	5581
347	12690	5543
348	12722	5504
349	12757	5467
350	12791	5430
351	12824	5391
352	12861	5356
353	12895	5318
354	12926	5279
355	12956	5240
356	12988	5202
357	13020	5164
358	13055	5127
359	13089	5090
360	13125	5053
361	13157	5015
362	13189	4977
363	13221	4939
364	13263	4905
365	13295	4867
366	13325	4829
367	13361	4792
368	13394	4755
369	13425	4717
370	13458	4679
371	13489	4641
372	13519	4603
373	13552	4565
374	13585	4528
375	13624	4493
376	13654	4454
377	13683	4416
378	13715	4378
379	13747	4341
380	13781	4304
381	13813	4266
382	13846	4229
383	13881	4193
384	13914	4156
385	13949	4119
386	13980	4082
387	14015	4045
388	14050	4009
389	14083	3972
390	14120	3936
391	14153	3899
392	14185	3862
393	14217	3825
394	14250	3788
395	14280	3750
396	14311	3713
397	14345	3676
398	14382	3640
399	14412	3603
400	14446	3566
401	14476	3529
402	14511	3492
403	14543	3455
404	14575	3418
405	14608	3382
406	14648	3347
407	14682	3310
408	14712	3273
409	14744	3236
410	14775	3199
411	14808	3162
412	14840	3126
413	14873	3089
414	14909	3053
415	14943	3017
416	14973	2980
417	15004	2943
418	15037	2907
419	15070	2870
420	15102	2834
421	15146	2799
422	15178	2763
423	15210	2726
424	15243	2689
425	15273	2653
426	15303	2616
427	15335	2579
428	15365	2542
429	15399	2506
430	15428	2470
431	15458	2433
432	15487	2396
433	15517	2359
434	15549	2323
435	15579	2286
436	15582	2246
437	15612	2209
438	15646	2174
439	15678	2137
440	15709	2101
441	15741	2065
442	15772	2029
443	15804	1993
444	15833	1956
445	15862	1920
446	15892	1884
447	15929	1848
448	15960	1812
449	15991	1776
450	16023	1740
451	16054	1704
452	16084	1668
